AnswerId,CommentId,EditIds,EditGroups,Useful
40189,3676143,3,,Yes
40189,6760892,3,,No
40189,6760909,3,,Yes w/ edits
40189,54281379,,,
62680,21338231,,,
62680,24156198,,,
62680,28074745,,,
62680,45284558,4,"[(4, ['vars(a)'])]",Yes w/ edits
62680,58445907,,,
62680,81078875,4,,Yes
62680,81395054,,,
62680,88222930,,,
62680,94133945,,,
151940,45906,2,"[(2, ['onSaveInstance', 'onRestoreInstance'])]",Yes
151940,1643029,,,
151940,4669772,,,
151940,6136623,,,
151940,6142638,,,
151940,6449064,4,,Yes
151940,11113406,,,
151940,11930545,,,
151940,11973392,,,
151940,12767303,,,
151940,13638536,,,
151940,14531164,,,
151940,15283994,,,
151940,22395028,,,
151940,25416488,,,
151940,31049282,,,
151940,31222087,,,
151940,31226265,,,
151940,31240481,,,
151940,31726660,,,
151940,34984608,,,
151940,37589877,,,
151940,47184468,,,
151940,50101243,,,
151940,51435311,,,
151940,51453737,,,
151940,55242511,,,
151940,66954250,,,
151940,70792228,,,
151940,78075919,,,
151940,85681475,,,
151940,86698381,,,
151940,89420106,,,
151940,92879409,,,
151940,94286021,,,
211161,12503783,,,
211161,12506711,,,
211161,25827529,3,"[(3, ['Enum<First>', '<First>'])]",No
211161,25827786,,,
211161,45711662,,,
211161,45711676,,,
211161,45713712,,,
211161,45719355,,,
211161,45719400,,,
211161,45719636,,,
211161,45750143,,,
211161,45750229,,,
211161,45756554,,,
211161,82983074,,,
240165,103524,3,"[(3, ['valueOf'])]",Yes
240165,104015,,,
240165,11309769,,,
273206,126642,2,,Yes w/ edits
273206,13871680,,,
273206,54083403,,,
276739,129104,2,,No
276739,225106,,"[(3, ['onbeforeunload = function'])]",
276739,1170697,,,
276739,1988417,,,
276739,9221210,,,
276739,11782567,,,
276739,14972724,,,
276739,26925262,,,
276739,69316521,,,
276739,79157605,,,
281433,132339,2,"[(2, ['sum(vote) / count(*)'])]",No
281433,132361,,,
281433,132387,3,,No
281433,132401,,,
281433,132404,,,
281433,132408,,,
281433,132422,,,
327384,166295,,,
327384,166353,,,
327384,166847,,,
327384,31790656,3,"[(3, [""implode(',',array_fill(0,count($params),'?'))"", ""$params),'""])]",No
327384,31800412,,,
327384,91428501,,,
389793,3894492,3,"[(3, ['allItems', '$allItems'])]",Yes (w/ editing)
389793,4529698,,,
389793,4771122,,,
389793,9748687,,,
389793,9863602,,,
2204253,2155087,2,,No
2204253,2155098,,,
2204253,8785650,,,
2204253,12862971,,,
2204253,22897828,,,
2204253,22920184,,,
2204253,22964671,,,
2204253,22972341,,,
2204253,25538781,3,"[(3, ['size()'])]",Yes
2204253,57961212,,,
2204253,64377108,,,
2204253,93842298,,,
2204253,97305548,,,
4009133,15711486,,,
4009133,24565402,,"[(5, ['isConnectedOrConnection()'])]",
4009133,31842683,,,
4009133,32405695,,,
4009133,32993925,,,
4009133,37065293,,,
4009133,62753283,,,
4009133,62753520,,,
4009133,68626119,,,
4009133,75528089,,,
4009133,88584119,,,
4233898,4583551,2,,No
4233898,4583568,,"[(3, ['getIntent'])]",
4233898,4583572,,"[(3, ['getIntent'])]",
4233898,37393278,,,
4233898,37393958,,,
4233898,37401681,,,
4233898,37402028,,,
4233898,37404565,,,
4233898,45104997,,,
4233898,45106312,,,
4233898,70138024,,,
4233898,78387642,,,
4233898,78387737,,,
4233898,89318278,,,
4233898,89322899,,,
4356295,20039711,6,,Yes w/ edits
4356295,24120490,,"[(7, ['$characters)'])]",
4356295,26796049,,,
4356295,35061829,,,
4356295,37516762,,,
4356295,38769703,,,
4356295,40264788,,,
4356295,40285148,,,
4356295,42883389,,,
4356295,49033759,,,
4356295,49059389,,,
4356295,50229502,8,,No
4356295,50959790,,,
4356295,62186084,,,
4356295,62730308,,,
7416218,8962635,,,
7416218,8962653,,,
7416218,8962679,,,
7416218,8962716,,,
7416218,8962757,3,,Yes
7416218,8962797,3,,Yes
7416218,8962854,,,
7416218,8964319,,,
7416218,8964352,,,
7416218,8977704,,,
7416218,8977756,,,
8949391,11246939,4,"[(4, ['getUpdates'])]",Yes (w/ editing)
8949391,11247670,,,
8949391,11247794,,,
8949391,11247862,6,"[(6, ['numOfUpdates'])]",Yes (w/ editing)
8949391,11247918,,,
8949391,11247950,6,,Yes (w/ editing)
8949391,11248047,5,"[(5, ['yourClient', 'yourClientObject'])]",Yes (w/ editing)
8949391,11248079,,,
8949391,11248098,,,
8949391,11248598,,,
8949391,11267881,,,
8949391,11268625,,,
8949391,11291303,,,
8949391,11365272,,,
9749510,12401724,2,"[(2, ['45E213', 'parseInt'])]",Yes
9749510,12401744,,,
9749510,12402650,,,
9749510,23692172,3,,Yes
9890599,29169636,,,
9890599,29173867,,,
9890599,39623814,,,
9890599,56139306,,,
9890599,90258761,,,
9890599,90311372,,,
10209691,13111922,2,"[(2, ['getAbsolutePath'])]",Yes
10209691,13111972,,,
